,doch,jedoch,aber,andererseits,allerdings,hingegen
,13072,7059,17138,2850,2914,561
after all,458,18,42,3,6,2
again,265,160,384,28,43,5
albeit,26,35,73,1,85,0
alternatively,0,0,14,2,0,0
although,963,618,1654,47,381,19
apart from that,6,1,1,1,0,0
at the same time,73,162,509,115,39,7
but,15353,13500,67246,631,2751,204
by contrast,0,1,2,5,1,28
by the same token,0,0,1,4,0,0
even if,140,27,62,2,17,0
even so,24,25,28,0,8,0
having said that,23,32,27,17,62,0
having said this,3,7,6,3,10,0
however,3480,22146,13149,323,7953,447
instead,112,77,145,11,13,53
nevertheless,402,894,668,15,578,12
nonetheless,193,351,303,8,157,8
on the contrary,25,15,15,4,8,40
on the downside,0,1,0,0,0,0
on the other hand,52,154,260,2029,81,414
on the other side,1,1,5,19,0,2
otherwise,46,27,76,24,6,1
still,685,708,990,77,237,22
though,523,737,1978,29,502,13
whereas,129,45,107,18,3,40
yet,1375,963,1595,68,288,16
