,doch,jedoch,aber,andererseits,allerdings,hingegen
,13072.0,7059.0,17138.0,2850.0,2914.0,561.0
after all,458.0,18.0,42.0,3.0,6.0,2.0
again,265.0,160.0,384.0,28.0,43.0,5.0
albeit,26.0,35.0,73.0,1.0,85.0,0.0
alternatively,0.0,0.0,14.0,2.0,0.0,0.0
although,963.0,618.0,1654.0,47.0,381.0,19.0
apart from that,6.0,1.0,1.0,1.0,0.0,0.0
at the same time,73.0,162.0,509.0,115.0,39.0,7.0
but,15353.0,13500.0,67246.0,631.0,2751.0,204.0
by contrast,0.0,1.0,2.0,5.0,1.0,28.0
by the same token,0.0,0.0,1.0,4.0,0.0,0.0
even if,140.0,27.0,62.0,2.0,17.0,0.0
even so,24.0,25.0,28.0,0.0,8.0,0.0
having said that,23.0,32.0,27.0,17.0,62.0,0.0
having said this,3.0,7.0,6.0,3.0,10.0,0.0
however,3480.0,22146.0,13149.0,323.0,7953.0,447.0
instead,112.0,77.0,145.0,11.0,13.0,53.0
nevertheless,402.0,894.0,668.0,15.0,578.0,12.0
nonetheless,193.0,351.0,303.0,8.0,157.0,8.0
on the contrary,25.0,15.0,15.0,4.0,8.0,40.0
on the downside,0.0,1.0,0.0,0.0,0.0,0.0
on the other hand,52.0,154.0,260.0,2029.0,81.0,414.0
on the other side,1.0,1.0,5.0,19.0,0.0,2.0
otherwise,46.0,27.0,76.0,24.0,6.0,1.0
still,685.0,708.0,990.0,77.0,237.0,22.0
though,523.0,737.0,1978.0,29.0,502.0,13.0
whereas,129.0,45.0,107.0,18.0,3.0,40.0
yet,1375.0,963.0,1595.0,68.0,288.0,16.0
